"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C8,C2";"C_0402_1005Metric";2;"1µf";;;
2;"RV1,RV2";"R_0402_1005Metric";2;"ESD protection varistor";;;
3;"Y1";"Crystal_SMD_2016-4Pin_2.0x1.6mm";1;"Crystal_GND24_Small";;;
4;"R4,R5";"R_0402_1005Metric";2;"5,1kΩ";;;
5;"C1,C7";"C_0402_1005Metric";2;"100nf";;;
6;"U1";"QFN-44-1EP_7x7mm_P0.5mm_EP5.2x5.2mm";1;"ATmega32U4-M";;;
7;"D2";"LED_0402_1005Metric";1;"LED";;;
8;"R2,R1";"R_0402_1005Metric";2;"22Ω";;;
9;"R6,R7,R3";"R_0402_1005Metric";3;"10kΩ";;;
10;"FB1";"R_0402_1005Metric";1;"Ferrite bead low-pass filter";;;
11;"D1";"D_0402_1005Metric";1;"Diode";;;
12;"C6,C4,C3,C5";"C_0402_1005Metric";4;"22pf";;;
13;"J1,J2";"PinHeader_1x12_P1.27mm_Vertical";2;"Connector 1x12";;;
14;"J3";"PinHeader_1x05_P1.27mm_Vertical";1;"Conn_01x05";;;
15;"R8";"R_0402_1005Metric";1;"1kΩ";;;
16;"J4";"USB-C MC-314C-4P16";1;"USB-C 2.0 mid-mount female connector";;;
17;"F1";"Fuse_0402_1005Metric";1;"Polyfuse 500mA HC";;;
